,Fits,Flux_Radial_Velocity,Model_Radial_Velocity,Flux_WaveLength_Shift,Model_WaveLength_Shift,Flux_WaveLength,Model_WaveLength,PLATE,MJD,FIBERID,SUBCLASS,ELODIE_OBJECT,ELODIE_SPTYPE,ELODIE_BV,ELODIE_TEFF,Wavelength_Max,Teff_Calculated,ELODIE_LOGG,ELODIE_FEH,ELODIE_Z,Z,WAVEMIN,WAVEMAX,SPEC1_G,SPEC1_R,SPEC1_I,SPEC2_G,SPEC2_R,SPEC2_I
0,A5II_spec-3588-55184-0554.fits,-406,-62,-8,-1,6553.9,6561.5,3588,55184,554,CV,HD002796,Fw,0.647,4949.,3923,7387.0,1.32,-2.32,0.,-0.00038355,3601.6375,10346.655,30.6553,59.6818,39.6352,29.4563,69.3074,44.3226
1,A5II_spec-3589-55186-0136.fits,-268,-199,-5,-4,6556.9,6558.5,3589,55186,136,B6IV (174959),HD000245,G2V,0.539,5373.,3857,7514.0,4.37,-1.08,0.,-0.00082261,3601.6375,10299.117,12.7779,31.1759,19.692,14.0558,32.2607,22.6653
2,A5II_spec-3609-55201-0632.fits,-475,352,-10,7,6552.4,6570.5,3609,55201,632,,,,0.,0.,3608,8032.0,0.,0.,0.,1.5430171,3601.6375,10346.655,14.9847,47.7856,35.5572,18.0268,47.9931,35.1271
3,A5II_spec-3609-55201-0866.fits,-62,-62,-1,-1,6561.5,6561.5,3609,55201,866,F0IV (81937),HD036395,M1V,1.474,3705.,4037,7179.0,4.8,0.6,0.,-0.00060721,3601.6375,10346.655,14.9847,47.7856,35.5572,18.0268,47.9931,35.1271
4,A5II_spec-3647-55241-0392.fits,7,7,0,0,6563.0,6563.0,3647,55241,392,B5 (338529),HD036395,M1V,1.474,3705.,3916,7400.0,4.8,0.6,0.,-0.00031284,3601.6375,10310.981,17.9596,59.5413,41.8852,19.1794,57.6348,40.2125
5,A5II_spec-3650-55244-0870.fits,7,7,0,0,6563.0,6563.0,3650,55244,870,F0V (90277),HD002796,Fw,0.647,4949.,3869,7490.0,1.32,-2.32,0.,-0.00032412,3601.6375,10346.655,16.2461,55.1568,37.9706,18.8166,57.4134,40.6269
6,A5II_spec-3656-55241-0830.fits,-613,7,-13,0,6549.4,6563.0,3656,55241,830,A2II (39866),HD000693,F5V,0.429,6180.,3780,7667.0,4.11,-0.41,0.,-0.00028406,3601.6375,10344.273,20.5991,61.1859,53.373,19.1266,52.7063,46.0077
7,A5II_spec-3659-55181-0526.fits,214,7,4,0,6567.5,6563.0,3659,55181,526,A5II (34578),HD005234,K2III,1.226,4318.,4140,7000.0,1.76,-0.25,0.,-0.00025185,3601.6375,10353.806,29.1936,73.0584,54.6197,26.4078,64.8457,47.3178
8,A5II_spec-3664-55245-0416.fits,7,698,0,15,6563.0,6578.1,3664,55245,416,,,,0.,0.,3571,8115.0,0.,0.,0.,1.5278814,3601.6375,10327.614,18.0746,54.2279,46.3711,19.6432,50.5343,44.0269
9,A5II_spec-3666-55185-0168.fits,145,-337,3,-7,6566.0,6555.4,3666,55185,168,,,,0.,0.,4194,6910.0,0.,0.,0.,1.2560765,3601.6375,10277.796,18.4194,60.4834,42.2817,20.1391,53.6045,38.3564
10,A5II_spec-3667-55566-0100.fits,7,76,0,1,6563.0,6564.5,3667,55566,100,F0II (25291),HD165146,F0,0.382,6604.,3870,7488.0,3.999,-0.2,-3.5295674e-05,9.25672e-05,3601.6375,10284.898,21.9796,53.6494,45.1251,19.4248,52.3043,33.9101
11,A5II_spec-3670-55480-0090.fits,214,145,4,3,6567.5,6566.0,3670,55480,90,F0III (89025),HD028343,K7V,1.363,3900.,4141,6998.0,4.232,0.17,0.,0.00027305,3601.6375,10306.234,24.4818,55.9983,42.4411,24.0397,59.6754,38.8217
12,A5II_spec-3670-55480-0210.fits,76,7,1,0,6564.5,6563.0,3670,55480,210,F0V (90277),HD036395,M1V,1.474,3705.,4020,7209.0,4.8,0.6,0.,-0.0001352,3601.6375,10306.234,24.4818,55.9983,42.4411,24.0397,59.6754,38.8217
13,A5II_spec-3671-55483-0038.fits,76,76,1,1,6564.5,6564.5,3671,55483,38,A4 (G_165-39),HD036395,M1V,1.474,3705.,4041,7171.0,4.8,0.6,0.,-1.3951082e-05,3601.6375,10308.607,24.4328,53.7357,43.4001,22.7413,64.6376,45.1484
14,A5II_spec-3672-55484-0096.fits,76,-62,1,-1,6564.5,6561.5,3672,55484,96,B5 (338529),HD036395,M1V,1.474,3705.,3915,7402.0,4.8,0.6,0.,-0.00035535,3601.6375,10327.614,27.54,59.8999,52.5503,25.3719,65.0154,46.6606
15,A5II_spec-3674-55182-0890.fits,421,-62,9,-1,6572.0,6561.5,3674,55182,890,F2V (33256),HD057651,           0,1.633,3714.,4504,6434.0,1.49,-0.57,0.,-0.00049554,3601.6375,10349.038,19.4505,59.6567,43.8463,19.0053,50.7017,36.896
16,A5II_spec-3676-55186-0590.fits,352,214,7,4,6570.5,6567.5,3676,55186,590,CV,HD002796,Fw,0.647,4949.,3578,8099.0,1.32,-2.32,0.,0.0010422,3601.6375,10349.038,24.8952,57.8689,38.8534,25.7192,56.9045,39.978
17,A5II_spec-3679-55209-0752.fits,76,76,1,1,6564.5,6564.5,3679,55209,752,F5Ib... (17463),HD029139,K5III,1.538,3922.,4039,7175.0,1.21,-0.17,0.,1.385858e-05,3601.6375,10346.655,39.5989,102.824,72.5692,38.5694,98.4593,75.1195
18,A5II_spec-3688-55273-0472.fits,-406,76,-8,1,6553.9,6564.5,3688,55273,472,F0IV (81937),HD009562,G2IV,0.605,5807.,4506,6431.0,3.89,0.14,0.,-6.552439e-06,3601.6375,10294.375,17.745,46.0027,38.7091,17.0711,42.983,30.3602
19,A5II_spec-3692-55186-0142.fits,145,283,3,6,6566.0,6569.0,3692,55186,142,F3/F5V (30743),HD002796,Fw,0.647,4949.,3787,7652.0,1.32,-2.32,0.,0.00062793,3601.6375,10337.131,45.3032,115.325,78.844,39.3198,79.7353,55.4445
20,A5II_spec-3701-55540-0816.fits,283,145,6,3,6569.0,6566.0,3701,55540,816,A5II (34578),HD028343,K7V,1.363,3900.,4062,7134.0,4.232,0.17,0.,0.00022165,3601.6375,10394.414,16.818,40.8223,34.8434,15.3718,38.6182,27.8111
21,A5II_spec-3701-55540-0848.fits,145,145,3,3,6566.0,6566.0,3701,55540,848,A5II (34578),HD001227,G8II-III,0.895,5063.,4142,6997.0,2.65,0.25,0.,0.00019543,3601.6375,10394.414,16.818,40.8223,34.8434,15.3718,38.6182,27.8111
22,A5II_spec-3736-55214-0608.fits,559,7,12,0,6575.0,6563.0,3736,55214,608,A5II (34578),HD000245,G2V,0.539,5373.,4140,7000.0,4.37,-1.08,0.,-0.00020268,3601.6375,10346.655,12.188,33.8244,24.6278,11.5967,32.2563,23.0356
23,A5II_spec-3744-55209-0624.fits,-62,-62,-1,-1,6561.5,6561.5,3744,55209,624,A5II (34578),HD009927,K3III,1.299,4395.,4059,7140.0,2.11,-0.01,0.,-0.00038379,3601.6375,10346.655,15.2502,36.7738,29.3386,12.982,39.7008,33.2217
24,A5II_spec-3744-55209-0884.fits,76,-130,1,-2,6564.5,6560.0,3744,55209,884,F6V (16673),HD002796,Fw,0.647,4949.,4036,7180.0,1.32,-2.32,0.,-0.00061525,3601.6375,10346.655,15.2502,36.7738,29.3386,12.982,39.7008,33.2217
